=== steadystate: WORKLOAD=reconcile DURATION=10m0s INTERVAL=15s SCAVENGE_AFTER_STARTUP=true SCAVENGE_EVERY=0s QPS=2
=== GOGC="" GOMEMLIMIT="" GOMAXPROCS=4 NumCPU=4 go=go1.26.7
2026/08/28 21:02:42 Creating Terraform AWS Provider (SDKv2-style)...
2026/08/28 21:02:42 Initializing Terraform AWS Provider (SDKv2-style)...
2026/08/28 21:02:42 Creating Terraform AWS Provider (Framework-style)...
2026/08/28 21:02:42 Initializing Terraform AWS Provider (Framework-style)...
=== startup path complete in 27.625s: 1029 cluster resources, 1029 namespaced, 8488 scheme GVKs

startup+GC (t+27.675s)
   MemStats: HeapAlloc=51.6 HeapSys=391.5 HeapIdle=294.3 HeapInuse=97.3 HeapReleased=17.4 Sys=409.3 TotalAlloc=15519.8 NumGC=167
   RSS=1053.4 MiB  PeakRSS(VmHWM)=1068.2 MiB
   smaps: Rss: 1077420 kB | Pss: 742794 kB | Private_Clean: 11436 kB | Private_Dirty: 398044 kB | Anonymous: 398044 kB
=== debug.FreeOSMemory() took 75ms

post-FreeOSMemory (t+27.759s)
   MemStats: HeapAlloc=51.5 HeapSys=391.6 HeapIdle=294.5 HeapInuse=97.1 HeapReleased=293.5 Sys=409.3 TotalAlloc=15519.9 NumGC=168
   RSS=777.3 MiB  PeakRSS(VmHWM)=1068.2 MiB
   smaps: Rss: 795988 kB | Pss: 461330 kB | Private_Clean: 11372 kB | Private_Dirty: 116612 kB | Anonymous: 116612 kB
=== workload: InstanceDiff probe ok (empty diff=false)
=== workload: 2 full probes, 5 schema-rebuild probes, diff step enabled=true
=== observation window: 10m0s, sampling every 15s, workload=reconcile
t        label                   Anon       Rss PrivDirty | HeapAlloc   HeapSys  HeapIdle HeapInuse   HeapRel       Sys  TotalAlloc  NumGC | reconciles
0s       -                      115.0     779.1     115.0 |      53.7     391.5     293.1      98.4     292.3     409.3     15522.0    168 |          0
15s      -                      134.5     801.0     134.5 |      64.5     391.6     289.1     102.5     272.7     409.3     15567.4    169 |         31
30s      -                      136.9     803.6     136.9 |      72.4     391.6     284.6     107.0     270.4     409.3     15611.5    170 |         61
45s      -                      138.4     805.2     138.4 |      80.2     391.6     278.5     113.1     268.9     409.3     15655.5    171 |         91
1m0s     -                      140.0     806.8     140.0 |      86.4     391.6     273.3     118.2     267.4     409.3     15699.6    172 |        121
1m15s    -                      140.2     807.0     140.2 |      91.5     391.6     269.0     122.5     267.2     409.3     15743.6    173 |        151
1m30s    -                      146.9     813.8     146.9 |      89.8     391.6     270.5     121.1     260.5     409.3     15787.6    174 |        181
1m45s    -                      147.7     814.5     147.7 |      85.5     391.6     274.1     117.5     259.8     409.3     15831.6    175 |        211
2m0s     -                      147.8     814.7     147.8 |      84.8     391.6     274.8     116.8     259.6     409.3     15875.7    176 |        241
2m15s    -                      148.1     815.0     148.1 |      83.7     391.6     275.6     116.0     259.3     409.3     15919.7    177 |        271
2m30s    -                      148.1     815.0     148.1 |      80.0     391.6     278.6     113.0     259.3     409.3     15963.7    178 |        301
2m45s    -                      148.1     815.0     148.1 |      77.9     391.6     280.3     111.2     259.3     409.3     16007.7    179 |        331
3m0s     -                      148.1     815.0     148.1 |      73.4     391.6     284.1     107.5     259.3     409.3     16051.7    180 |        361
3m15s    -                      148.1     815.1     148.1 |      72.1     391.6     284.5     107.1     259.3     409.3     16095.8    181 |        391
3m30s    -                      148.1     815.2     148.1 |      70.8     391.6     285.5     106.1     259.3     409.3     16139.8    182 |        421
3m45s    -                      148.2     815.2     148.2 |      68.5     391.6     286.6     105.0     259.3     409.3     16183.8    183 |        451
4m0s     -                      148.2     815.4     148.2 |      65.0     391.6     288.6     103.0     259.3     409.3     16227.9    184 |        481
4m15s    -                      148.2     815.4     148.2 |      61.3     391.6     290.6     100.9     259.3     409.3     16271.9    185 |        511
4m30s    -                      148.2     815.4     148.2 |      58.2     391.6     292.3      99.3     259.3     409.3     16315.9    186 |        541
4m45s    -                      148.2     815.5     148.2 |      55.4     391.6     293.0      98.5     259.3     409.3     16359.9    187 |        571
5m0s     -                      148.2     815.5     148.2 |      62.7     391.5     283.8     107.8     259.3     409.3     16404.0    188 |        601
5m15s    -                      148.2     815.5     148.2 |      96.1     391.6     265.1     126.5     259.3     409.3     16448.0    188 |        631
5m30s    -                      149.0     816.3     149.0 |      91.5     391.6     269.1     122.5     258.6     409.3     16492.0    189 |        661
5m45s    -                      149.5     816.8     149.5 |      85.3     391.6     274.3     117.3     258.1     409.3     16536.0    190 |        691
6m0s     -                      149.5     816.8     149.5 |      79.7     391.6     278.7     112.8     258.1     409.3     16580.0    191 |        721
6m15s    -                      149.7     817.0     149.7 |      75.1     391.6     282.6     108.9     257.9     409.3     16624.1    192 |        751
6m30s    -                      149.8     817.1     149.8 |      71.0     391.6     285.3     106.2     257.8     409.3     16668.1    193 |        781
6m45s    -                      149.8     817.1     149.8 |      69.1     391.6     286.0     105.6     257.8     409.3     16712.1    194 |        811
7m0s     -                      149.8     817.1     149.8 |      65.2     391.6     288.4     103.2     257.8     409.3     16756.2    195 |        841
7m15s    -                      149.8     817.1     149.8 |      64.8     391.6     288.7     102.8     257.8     409.3     16800.2    196 |        871
7m30s    -                      149.8     817.1     149.8 |      64.2     391.6     289.1     102.4     257.8     409.3     16844.2    197 |        901
7m45s    -                      149.8     817.1     149.8 |      63.0     391.6     289.4     102.2     257.8     409.3     16888.2    198 |        931
8m0s     -                      149.8     817.1     149.8 |      62.3     391.6     289.9     101.7     257.8     409.3     16932.2    199 |        961
8m15s    -                      150.0     817.3     150.0 |      56.8     391.6     292.1      99.5     257.6     409.3     16976.3    200 |        991
8m30s    -                      150.0     817.3     150.0 |     100.8     391.6     261.0     130.6     257.6     409.3     17020.3    200 |       1021
8m45s    -                      150.4     817.8     150.4 |      95.4     391.6     265.7     125.9     257.3     409.3     17064.3    201 |       1051
9m0s     -                      150.4     817.8     150.4 |      91.4     391.6     269.2     122.4     257.3     409.3     17108.3    202 |       1081
9m15s    -                      150.4     817.8     150.4 |      89.4     391.6     270.9     120.7     257.3     409.3     17152.3    203 |       1111
9m30s    -                      150.4     817.8     150.4 |      85.7     391.6     274.0     117.6     257.3     409.3     17196.4    204 |       1141
9m45s    -                      150.4     817.8     150.4 |      83.5     391.6     275.7     115.9     257.3     409.3     17240.4    205 |       1171
